A38,2.235,8,14.4,119,482,66.467,78.783,57.150,infected
A39,2.483,8,18.9,46,570,66.117,46.167,78.667,infected
A40,2.239,8,14.9,74,578,72.167,44.033,53.917,infected
A41,2.575,10,11,151,509,47.533,40.283,47.633,infected
A42,2.519,10,17.7,115,636,58.217,38.033,44.167,infected
A43,2.52,10,20.1,75,720,48.333,42.500,47.950,infected
A44,2.557,10,14.4,121,52,65.617,42.883,45.000,infected
A45,2.204,10,16.5,55,681,48.117,45.983,43.450,infected
A46,2.366,10,18.3,107,788,48.300,52.583,43.450,infected
A47,2.301,10,14.8,96,578,65.683,55.433,51.800,infected
A48,2.183,10,15,97,500,69.900,50.983,68.417,infected
A49,2.243,10,16.4,107,779,59.633,61.600,57.783,infected
A50,2.144,10,13.8,103,516,74.850,63.833,64.400,severe
A51,1.953,10,15.4,74,765,66.183,49.917,41.733,severe
A52,2.648,10,17.7,66,732,66.117,62.050,38.667,severe
A53,2.205,10,20.7,59,712,76.233,61.233,38.367,severe
A54,2.387,10,16.6,124,712,62.133,33.183,54.033,severe
A55,2.749,10,17.7,138,714,64.767,38.250,70.050,severe
A56,2.183,10,14.8,65,715,59.800,39.617,53.367,severe
A57,1.961,10,12.4,165,553,54.933,44.867,46.667,severe
A58,2.121,10,14.5,150,720,56.067,38.433,38.733,severe
A59,1.882,10,11.9,133,669,48.417,48.200,43.483,severe
A60,2.885,10,17.4,106,640,49.700,39.550,45.333,severe
A61,2.662,10,18.5,88,710,50.733,44.500,54.733,severe
A62,2.5,10,17.7,67,803,50.083,68.700,41.017,severe
A63,2.126,10,11.6,95,497,54.650,55.450,44.017,severe
A64,3.24,10,18.1,128,629,63.733,58.700,46.833,severe
A65,2.523,10,18.5,105,853,48.950,49.683,45.383,severe
A66,2.373,10,16.8,117,805,50.650,64.883,47.450,severe
A67,2.782,10,21.2,74,785,50.533,49.100,46.067,severe
A68,2.43,10,17,77,720,49.783,43.767,45.783,severe
A69,2.157,10,13.7,155,600,48.333,37.833,53.050,severe
A70,2.387,10,15.4,154,756,49.883,47.417,59.767,severe
A71,2.543,10,17.1,97,636,48.517,52.350,49.067,severe
A72,1.866,10,13.1,76,684,54.917,43.733,44.250,severe
A73,2.301,10,9.8,140,438,62.867,60.350,52.883,severe
A74,2.059,10,11,137,368,67.867,64.967,52.817,severe
A75,2.261,10,16,92,735,50.133,55.217,45.167,severe
A76,2.272,10,14.1,157,658,49.383,71.000,61.917,severe
A77,1.233,10,12.5,107,625,48.217,64.300,57.783,severe
A78,2.127,10,16.8,93,818,50.000,41.033,46.683,severe
A79,2.593,10,19.6,97,814,49.817,64.967,48.650,severe
A80,2.018,10,18.5,74,836,50.817,80.133,45.533,severe
